ablation,абляция (таяние ледников)
speed,скорость
velocity,скорость
rate of change,градиент
rate of change of velocity,градиент скорости
"rate of inflow, water influx",водоприток
rate of subsurface water flow,модуль подземного стока
ravelling scree,подвижная осыпь
Rayleigh wave,волна Релея
reagent,реагент
receiver,приемник
recent fault creeping,современный крип
recent tectonic movements,современные тектонические движения
modern tectonic movements,современные тектонические движения
recession,морская регрессия
recharge area,область питания
recirculation,рециркуляция
recirculated water,оборотная вода
reclaim water,оборотная вода
reclaimed pavement,восстановленное покрытие
recognize,распознавать
identify,распознавать
reconnaissance,рекогносцировка
recording,запись
recording equipment,записывающее устройство
recreation,"рекреация, отдых"
recultivation of land,восстановление земель
recycling,повторное использование
redistribution,перераспределение
reduce,"преобразовывать, сокращать"
reduced analysis,сокращенный анализ
reduced level,относительная отметка
reduced length,приведенная длина (ширина)
reduced width,приведенная (ширина)
redundant,избыточный
reference borehole,опорная скважина
reflected,отраженный
reformation of bank,переработка берега
refraction,преломление
refracting medium,преломляющая среда
refraction method,метод преломленных волн
refraction wave,преломленная волна
"regenerate, retrieve",восстанавливать
regime,режим
region,район
regional,региональный
regionalization,районирование
regression,регрессия
regulation,регулирование
control,регулирование
rehabilitation,восстановление
regeneration,восстановление
restoration,восстановление
rejuvenated fault,обновленный разлом
relative,относительный
relative compaction,относительное уплотнение
relative density,относительная плотность
relative sinking,относительная просадочность
relaxation,релаксация
release,высвобождать
releases,попуски
relevant,"подходящий, уместный"
reliability,надежность
relic,останец
relic,"реликтовый, древний"
relic of culture,реликвия (памятник культуры)
relic of the past,реликвия (памятник культуры)
relief,рельеф
reference point,репер
reference mark,репер
marker,репер
datum mark,репер
remote sensing,дистанционное зондирование
repeatability,воспроизводимость
repetition,повторяемость
replacement,замена
report on investigations,отчет об изысканиях
representative,репрезентативный
reproducibility,воспроизводимость результатов
requirements,требования
required,требуемый
safety requirements,требования по безопасности
technical requirements,технические требования
research,исследования
exploration,исследования
research area,"область, площадь исследований"
resection,засечка (геодез.)
reservation,заповедник
reserve area,заповедник
reservoir,"резервуар, водохранилище"
reservoir bank transformation,переформирование берегов водохранилища
residents,постоянно проживающее население
residential,жилой
residual deposits,элювий
residual soil,элювий
resistance,устойчивость
resistivity log,электрокаротаж
resource,ресурсы
resource saving technology,ресурсосберегающая технология
restraint,сдерживание
retention,сдерживание
restriction,ограничение
resultant,равнодействующая (сил)
results of past surveys (researches),материалы прошлых лет
retaining wall,подпорная стенка
retract,извлекать
retreating,отступание
reveal,выявлять (вскрывать)
revealing,выявление
revelation,обнаружение (открытие чего-либо)
reverse,обратный
reverse estimates,обратный расчет
revine,овраг
revinement,оврагообразование
revise,пересматривать
rezistivimetrie,резистивиметрия
rheological properties,реологические свойства
rheology,реология
rift,рифт
rige,гряда
stiffness,"жесткость, твердость"
rigidity,"жесткость, твердость"
rime,иней
ring shear,кольцевой сдвиг
rip-rap,каменная наброска
rise of ground water,подъем подземных вод
risk,риск
acceptable risk,допустимый риск
risk assessment,оценка риска
risk estimation,оценка риска
risk degree,степень риска
river bed,русло реки
river head,исток реки
river bed evolution,русловой процесс
river bed deformations,русловые деформации
riverside vegetation,прибрежная (речная) растительность
road,дорога
rock,"скала, скальные грунты (породы)"
rock burst,горный удар
rock fill dam,каменно-набросная плотина
rockfall,обвал
rock-forming minerals,породообразующие минералы
rock massif,массив горных пород
rock mechanics,механика горных пород
rock salt,каменная соль
rock slack,дресва
rock slip,оползень в скальных породах
Rock Quality Designation (RQD),показатель качества (нарушенности) горной породы
RQD,показатель качества (нарушенности) горной породы
roof,кровля
rotary drilling,вращательное бурение
rotary shear test,испытания крыльчаткой
roughness,шероховатость
roundness,окатанность
route,маршрут
route survey,маршрутная съемка
route out line,трасса
tracing,трассирование
marking out,трассирование
selection of route,трассирование
rubbish,"мусор, отбросы"
rubble,"галька, валун, булыжник, щебень"
rule,правило
run-up,"нагон (воды, ветровой)"
running sand,плывун
rupture,трещина
fissure,трещина
crack,трещина
crevice,трещина
rust,ржавчина
sample,"образец, проба"
sampler,пробоотборник
sampling,отбор образцов (опробование)
sampling tool,пробоотборный снаряд
sand,песок
sand dust,супесь
sandstone,песчаник
seal,тюлень
sea-calf,тюлень
sediment,осадок
sedimentаtion,осаждение
sediment transport,сток наносов
safety,безопасность
sailing direction,лоция
saline soils,засоленные грунты
"salina, alkali soil",солончак
salinity,соленость
salmon,лосось
salmonid fish,лососевые рыбы
salt composition,солевой состав
salt dome,соляной купол (шток)
plug,соляной купол (шток)
sampler,грунтонос
soil sampling tool,грунтонос
thin-walled sampler (corer),тонкостенный грунтонос
piston sampler (corer),забивной поршневой грунтонос
sampling network,сеть опробования
sampling point,точка отбора проб
sanctuary,"заповедник, заказник"
sanitary buffer,санитарно-защитная зона
sanitary and epidemiologic researches,санитарно-эпидемиологические исследования
sanitary protection zone,зона санитарной охраны
sanitary state,санитарное состояние
satellite geodesy,спутниковая геодезия
satellite image,космический снимок (космоснимок)
space image,космический снимок (космоснимок)
saturation,насыщение
saw,пила
scale,шкала
scale,масштаб
at a scale,в масштабе
scar,"утес, скала"
scarp,обрыв
scheme,схема
comparison scheme,схема сопоставления
scientific and technical,научно-технический
scope of works,состав работ
scour,"размыв, промоина"
scouring organisms,почвенные организмы
scree,"щебень, осыпь"
screw,шнек
sea,море
sea invasion,морская трансгрессия
seam,"пласт, слой"
seaport,морской порт
sea regression,морская регрессия
sealing of borehole,тампонаж скважины
seasonal variations,сезонные колебания
seasonally freezing stratum,сезонно промерзающий слой
secondary,вторичный
secondary treatment,вторичная очистка
secondary pollutant,вторичная примесь
sediments,"осадки (отложения), наносы"
sedimentary rocks,осадочные породы
sedimentation plant,отстойник
seeding,посев
"seepage, percolation","просачивание, фильтрация"
seepage loss,фильтрационные потери
seishes,сейши
seismic area,сейсмичный район
seismic effect,сейсмическое воздействие
seismic focus (origin),очаг землетрясения
seismic micro-zoning,сейсмическое микрорайонирование
seismic resistance,сейсмическая устойчивость
seismic prospecting (exploring),сейсморазведка
seismic section (profile),сейсмический разрез (профиль)
seismic waves,сейсмические волны
seismicity,сейсмичность
seismoacoustic methods,сейсмоакустика
seismogram,сейсмограмма
seismology,сейсмология
seismological,сейсмологический
self-boring,самозабуривающийся
self-cleaning,самоочищение
selfindividual frequency diapason range,собственный диапазон частот
self-potential method,метод естественного поля
semi-liquid state,полужидкое состояние
semi-rock,"полускальный грунт, полускальные породы"
semi-solid rocks,"полускальный грунт, полускальные породы"
sensibility,"чувствительность, склонность, восприимчивость"
sensitivity,"чувствительность, склонность, восприимчивость"
sensing device,датчик
sensor,датчик
separation,"разделение, расчленение"
separation of hydrograph,расчленение гидрографа
sequence of beds,"последовательность слоев, напластование"
setting basin,отстойник
settlement,"осадка (сооружения), поселение"
settlement calculation,расчет (осадки)
settlement plate,штамп
loading plate,штамп
plate load test,штамповые испытания
static loading plate test,штамповые испытания
set up,устанавливать
"shaft, mine",шахта
shale,сланец
shist,сланец
slate,сланец
shallow,"мелкий, неглубокий"
shallow depression,западина
shape,форма
shear resistance,сопротивление сдвигу (прочность на сдвиг)
shear strength,сопротивление сдвигу (прочность на сдвиг)
shear stress,касательное напряжение
shear test,"срез, сдвиг (сдвиговые испытания)"
drained,дренированный
undrained,недренированный
shear modulus,модуль сдвига
"shear plane, shear surface",поверхность сдвига
shear resistance,сопротивление сдвигу
shear strength,прочность на сдвиг
shear waves (S-waves),поперечные волны
sheet,"пласт, слой, покров"
sheet of filtration test,лист откачки
sheet pile,шпунтовая свая
sheet-pile wall,шпунтовая стенка
bulk head,шпунтовая стенка
shelf,шельф
continental shelf,континентальный шельф
shell,"раковина, ракушечник"
shell,желонка
"shelter, resort",укрытие
shield,щит
shingle,галечник
shoal,"мель, отмель, мелководье"
shooting a well,торпедирование скважины
shore,побережье
short-hole drilling,бурение шпуров
short-term forcast,краткосрочный прогноз
shot hole,шпур; shot firing,паление шпуров
shrinkage,усадка
shrinkage cracks,трещины усыхания
shrub,кустарник
side-scan sonar,гидролокатор бокового обзора
sonar detection,гидролокация
sieve,сито
sieve analysis,ситовой анализ
sifting,"просеивание, грохочение"
silicatization,силикатизация
silification,силикатизация
silt,"пыль, ил, муть, алеврит, осадок, шлам"
siltstone,алевролит
silt content,мутность воды
single,"единственный, единичный"
single-crop system,монокультура
single-stage investigations,одностадийные изыскания
sinkhole,"карстовая воронка, провал"
sinking,"оседание, проседание, просадка"
site,"площадка, участок (под разработку, разведку, строительство)"
at a site,на площадке
site selection,выбор площадки
slab,плита
slant,"уклон, наклон"
slope,"уклон, наклон"
inclination,"уклон, наклон"
slag,"зола, шлак"
slag disposal
slag (ash) dump,золоотвал
slash,шуга
sluge,шуга
slate,глинистый сланец
sleet,град
slick,пятно
slickenside,зеркало (поверхность) скольжения
glide,скольжение
slide,"оползень, скольжение"
sliding plane,поверхность скольжения
sliding tongue,язык (оползня)
sliding zone,зона скольжения
slime,"шлам, осадок"
slip,оползень
slip plane,поверхность скольжения
slob,шуга
slope,склон
континентальный склон,continental slope
slope,"склон, уклон, крутизна, осыпь"
sluge,"шлам, грязь, ил"
slump,"обвал, обрушение"
slumping,"оползание, сползание"
slurry trench,"траншея, заполненная глиной, для создания стены в грунте"
small-scale map,мелкомасштабная карта
smoke,"дым, дымовой газ (промышленный)"
snap sample,точечная проба
spot sample,точечная проба
grab sample,точечная проба
snow,снег
snow line,снеговая линия
snow load,снеговая нагрузка;
snow sampler survey,снегомерная съемка
snow melt flood,половодье
soaking,размокаемость
social-economic (socioeconomic) research,социально-экономические исследования
sodium,натрий
soft,мягкий
softening,размягчаемость
soil,"грунт (нескальный, рыхлый), почва"
soil covering,рыхлый покров
soil formation,почвообразование
soil development,почвообразование
soil mechanics,механика грунтов
soil profile,вертикальный разрез
soil section,вертикальный разрез
standard section,типовой разрез
soil and rock constants,расчетные характеристики пород
soil salinization,засоление почвы
soil stabilization,закрепление грунтов
soil structure,структура грунта
soil fabric,текстура грунта
sole,"подошва, дно"
solid wastes,твердые отходы
solidity,твердость
solifluction,солифлюкция (оплывание)
solitary,одиночный
solubility,растворимость
soluble,растворимый
solution,раствор
sonar,"сонар, звуколокатор"
sounding,зондирование
sounding cone,наконечник (зонда)
sounding device,зонд
source,источник (родник)
source of pollution,источник загрязнения
source capacity,дебит источника
space of sampling,интервал опробования
spacing,расстояние (как промежуток между профилями или точками)
spatial,пространственный
spawning,нерест
specialized laboratories,специализированные лаборатории
specific,удельный
specific cohesion,удельное сцепление
specific cone resistance,удельное сопротивление конусу зонда
specific discharge,модуль стока
specific soil properties,специфические свойства грунтов
specific yield of a well (boring),удельный дебит скважины
specify,"определять, устанавливать, указывать"
specified value,нормативное значение
specimen,образец
spectral resonance characteristics,спектральные характеристики реакции грунтов
spectrum of vibrations,спектр колебаний
speed,скорость
speed of frost penetration,скорость промерзания
spillway,водосброс
splitting,"растрескивание, раскалывание, расслаивание"
spoil pile,отвал
spoil bank,отвал
spontaneous polarization method,спонтанная поляризация (метод естественного поля)
sporadic spreading,спорадическое распространение
spot,пятно
spreading,"распространение, расширение"
spring,"источник, родник"
spring water tapping
capture,каптаж (источника)
spruce,канадская ель
stability,устойчивость
instability,неустойчивость
slope stability,устойчивость склона
stabilization of foundation soil,мелиорация грунтов (в основании сооружений)
stable relief,бронированный рельеф
glacial stage,фаза (стадия) оледенения
stagnant water,застойные воды
stake,опорный столб
SPT,динамическое зондирование
Standard Penetration Test,динамическое зондирование
state control geodetic network,государственная геодезическая сеть
state water cadastre,государственный водный кадастр
static loading plate test,штамповые испытания
"static probing, static sounding",статическое зондирование
steam,пар
steep,крутой
step,ступень
stickness,липкость
sticky limit,предел липкости
stipulate,предусматривать
stone stream,"курум, каменный поток"
storage of radioactive wastes,хранение радиоактивных отходов
storm,шторм
storm sewage,ливневой сток
strain at failure,разрушающая нагрузка на растяжение
strain gauge,тензометр
strainer,"фильтр, сито"
stratification,напластование
stratification plane,поверхность напластования
stratigraphic,стратиграфический
stratigraphic units,стратиграфические единицы
stratigraphic-genetic complex,стратиграфо-генетический комплекс
stratigraphic-genetic index,стратиграфо-генетический индекс
stratigraphy,стратиграфия
stratum,"пласт, слой"
stream,поток
stream flow measuring station,гидрологический пост (пункт)
strength,прочность
strength reduction under cyclic loads,снижение прочности при циклических нагрузках
strengthening,упрочнение
stress,давление
overburden stress,давление вышележащей толщи
bearing stress,давление по подошве фундамента
stress– напряжение
stress distribution diagram,эпюра напряжений
stress-strain curve,кривая напряжение-деформация
stress-strain function,соотношение напряжение-деформация
stretching,растяжение
strike,простирание
strike direction,азимут простирания
strike-slip fault,сбросо-сдвиг
stripping,"расчистка, демонтаж"
structure and texture of rocks,структура и текстура породы
subaqueous,подводный
subdivision,"разделение, расчленение"
subdivision of geological profile,расчленение разреза
subdivision,подрайон
subglacial till,донная морена
subject,подвергать
subjects of application,область применения
submerge,погружаться (под воду)
submerged,"затопленный, погруженный (под воду)"
submersible pump,погружной насос
submission of results,представление результатов
subpermafrost waters,подмерзлотные воды
subregion,подрайон
subsea,подводный (морск.)
subsidence,"опускание, просадка, оседание (поверхности над выработанным пространством)"
subsidence capacity,просадочность
subsiding,просадка
substantiation,обоснование
substructure,подземная часть сооружения
subsurface,подземный
subsurface water flow,подземный сток
subterranean,подземный
succession,последовательность
sequence of beds,"разрез вертикальный (строение толщи, последовательность слоев)"
sufficient data,достаточные данные
unsufficient data,недостаточные данные
suffosion,суффозия
suitability,"годность, пригодность, возможность использования"
sulphates,сульфаты
sump pit,зумпф
supercooling,переохлаждение
superficial,"поверхностный, приповерхностный, неглубокий, верхний"
supplement,"дополнять, добавлять"
support,"обеспечение, поддержка, крепление"
suppress,"подавлять, заглушать"
surf,"прибой, бурун"
surface,поверхность
surface run-off,поверхностный сток
surface flow,поверхностный сток
surface water,поверхностные воды
surface tension,поверхностное натяжение
surficial,приповерхностный
surging,волновое колебание
surrounding territory,окружающая территория
survey,съемка
plotting,съемка
altimetric survey,высотная съемка
survey swath,полоса съемки
susceptibility,"чувствительность, восприимчивость"
suspended matter,твердый сток
suspended sediment flow,твердый сток
suspended solids,взвешенные вещества
sustained rock strength,длительная прочность
high bog,болото верховое
lowland bog,болото низинное
swash,прибой
sweet water storage,месторождение пресных вод
swelling,набухание
synchronous,синхронные
syncline,синклиналь
synclinorium,синклинорий
syneclise,синеклиза
synthesized accelerograms,синтезированные акселерограммы
system of coordinates and elevations,система координат и высот
rectangular coordinate system,прямоугольная система координат
system of water quality monitoring,система контроля качества воды
syzygial (spring) tide,"сизигийный прилив, отлив"
spring tide,"сизигийный прилив, отлив"
table,таблица
tacheometer,тахеометр
tacheometrical survey,тахеометрическая съемка
electronic tacheometer,электронный тахеометр
tail,шлейф
tailing,выклинивание
tailwater,нижний бьеф
talic,талик
talik,талик
unfrozen pocket,талик
talus,щебень
talus creep,осыпь
talweg,тальвег
tangential stress,тангенциальное напряжение
tank,цистерна (резервуар)
taxonometric unit,таксономическая единица
temperature logging,термокаротаж
tamping,трамбовка (набивка)
technical assignment,техническое задание
technical order,техническое задание
technogenic,техногенный
technogenic impact,техногенное воздействие
technogenic-natural,техно-природный
technological,технологический
tectonics,тектоника
tectonic,тектонический
tectonic framework,тектоническое строение
tectonic destruction,дислокация
temporary,временный
temperature,температура
temperature stratification,температурная стратификация
tempest,"шторм, буря"
temporary strength,временная прочность
tensile force,растягивающее усилие
tensile stress,растягивающее напряжение
tensile strength,"сопротивление разрыву, прочность на растяжение, прочность на разрыв"
tension test,испытания на растяжение
tensile test,испытания на растяжение
tension,"натяжение, растяжение, напряжение"
tensor of stress,тензор напряжения
tentative,"предварительный, пробный"
terminal moraine,конечная морена
terrace,"терраса, terrace base",цоколь террасы
terrain,"местность, окружающая территория"
terrain analysis,районирование
terrestrial and aquatic ecosystems,наземные и водные экосистемы
terrigenic deposits,терригенные отложения
territory adjacent to proposed site,прилегающая к площадке территория
Tertiary,третичные
test,"испытание, тест"
test on soil,испытание грунта
testing,"опробование, испытание"
thawed soils (ground),талые грунты
melting soils,талые грунты
thawing,оттаивание
thawing basin,чаша протаивания
theodolite,теодолит
theoretical resistance,расчетное сопротивление
thermal,тепловой
thermal balance,тепловой баланс
thermal pollution,тепловое загрязнение
thermal conductivity,теплопроводность
heat conductivity,теплопроводность
heat conductivity coefficient,коэффициент теплопроводности
thermal expansion,температурное расширение
thermal protection,теплоизоляция
thermal spring,термальный (источник)
thermokarst,термокарст
thickness,мощность
thixotropy,тиксотропия
threshold dose,пороговая доза
thrust,надвиг
thrust fault plane,плоскость надвига
thunderstorm,гроза
tide,"прилив, отлив"
tidal level,приливно-отливный уровень
tide pole,футшток
till,"морена, неотсортированные ледниковые отложения"
till,тиль (пестрые ледниковые глины)
tilt,наклон
tiltmeter,наклономер
toe,"подошва, дно"
tolerance,толерантность
plant tolerance,толерантность растения
tolerant residue,допустимый остаток
tongue,язык (оползня)
tongue,шпунт
rebate,шпунт
tongue-and-groove,шпунтовое соединение
topography,топография
topographical map,топографическая карта
topographic map,топографическая карта
topographic plan,топографический план
topographical plan,топографический план
toppling,обвал
topsoil,почвенный (гумусовый) горизонт
tornado,торнадо
torrent,сильный поток
total effective dose,мощность эффективной дозы
total resistance,полное сопротивление (конусу зонда)
total strain modulus,модуль общей деформации
toxic gases,газы токсичные
toxicity,токсичность
trace,"прочерчивать, прослеживать"
traces of fauna and flora,отпечатки фауны и флоры
tracing,трассирование
traditional,традиционный
transfer,перенос
transit line,створ
transit markers,створные знаки
transgression,трансгрессия
transpiration,транспирация
transportation routes,транспортные пути
transposition,перенос
transverse,поперечный (секущий)
transverse fault,поперечный (секущий) разлом
transverse profile,поперечный разрез
transverse wave,поперечная (S) волна
treatment,обработка
treatment of radioactive wastes,переработка радиоактивных отходов
trench,"канава, траншея"
trend,"тренд, направление"
fitting of trend surface,построение поверхности тренда
trial,испытание
triangulation,триангуляция
triaxial apparatus,стабилометр
triaxial test,трехосные испытания
tributary,приток реки
trough,"прогиб, трог"
true value,истинная величина
trustworthiness,достоверность
tsunami,цунами
tuff,туф
tundra,тундра
tunnel,тоннель
turbidity,мутность
turbine house,турбинный зал
turbine hall,турбинный зал
turbulent diffusion,турбулентная диффузия
turbulent flow,турбулентное течение
twist,перекручивание
typhoon,тайфун
typical section,типовой разрез
type section,типовой разрез
ultimate equilibrium,предельное равновесие
ultimate load,разрушающая (предельная) нагрузка (напряжение)
ultra-sound,ультразвук
unacceptable,неприемлемый
unaccessible,недоступный
unconsolidated,неуплотненный
undercutting,подмыв (берегов)
undercutting of slope,подсечка склона
underflooding,подтопление
underflow,подрусловые воды
underground,подземный
underground mine,подземная выработка
underlay,подстилать
underlying strata,подстилающие слои
under plumesite,подфакельный пост наблюдений
undertake,предпринимать
undisturbed structure,ненарушенная структура
unfrozen pocket,талик
uniaxial compression,одноосное сжатие (одометрические испытания)
uniform,однородный
uniformity,однородность
unify,унифицировать
unique construction,уникальное сооружение
unique installation,уникальное сооружение
unit,"единица, единичный"
unsuitable,непригодный
upper-air,верхний слой атмосферы
upheaval,поднятие
uplifting,поднятие
upstream apron,понур (плотины)
upstream blanket,понур (плотины)
upstream pool,верхний бьеф
upthrow fault,"взброс, надвиг"
thrust,"взброс, надвиг"
uranium mine,урановые разработки
urban,городской
urban green belt,зеленая зона города
use,использование
usage,использование
useful minerals,полезные ископаемые
utilized area,угодья
agricultural area,угодья
vadose water,верховодка
vain,жила
vain rock,жильная порода
vain waters,жильные воды
valley,долина
vane apparatus,крыльчатка
vane test,испытания крыльчаткой
variability,изменчивость
spatial variability,пространственная изменчивость
variety,разнообразие
species variety,видовое разнообразие
varve clay,ленточная глина
vary,варьировать
vegetated earth,почвенный (гумусовый) горизонт
vegetation,растительность
"vehicle, vessel",судно
ventilation,вентиляция
verifying,"проверка, подтверждение"
vertical seismic profiling,вертикальное сейсмопрофилирование
vertical velocity curve,годограф
viable,жизнеспособный
vibrations,колебания
oscillation,колебания
vibrating plate,виброплита
vibro-piston sampler,вибропоршневой пробоотборник
vicinity,окрестности (прилегающая территория)
viscosity,вязкость
visual assessment,визуальная оценка
void,"полость, пустота"
void ratio,коэффициент пористости
inplace void ratio,природной пористости
in most compact state,при самом плотном сложении
in loosest state,при самом рыхлом сложении
volcano,вулкан
ceased volcano,вулкан потухший
mouth of volcano,жерло вулкана
volume,объем
vulnerability,"уязвимость, подверженность"
wash,прибой
wash-boring process,промывка скважины
washout,вымывание
waste,отходы
waste deposit,свалка
waste disposal,свалка
waste disposal,захоронение отходов
waste recycling,переработка отходов
waste water,сточные воды
sewage,канализация
water balance,водный баланс
water balance equation,уравнение водного баланса
water balance station,воднобалансовая станция
water bearing stratum,водоносный горизонт (слой)
water body,водный объект
water collector,водосборник
water consumption,водопотребление
water cource,водоток
water economy,водное хозяйство
water-edge,урез воды
water extraction,водная вытяжка
water exhaustion,водная вытяжка
water flush system,намыв
water hardness,жесткость воды
watering,обводнение
water-injection test,нагнетание
water intake,водоприемник
water intake filling test,налив
water level fluctuation,колебания уровня воды
water level gage,водомерный пост
"water loss, water yield",водоотдача
water package plant,водоочистные сооружения
water-pressure test,нагнетание
water-protective complex,водоохранный комплекс
water-protective zone,водоохранная зона
waterproof,гидроизоляция
waterproof blanket,понур (плотины)
water resisting,водостойкость
water resources,водные ресурсы
water resources utilization system,водохозяйственный комплекс
water-saturated,водонасыщенный
watershed area,площадь водосбора
water storage,запас воды
watershed,водораздел
waterspout,водяной смерч
water supply,водоснабжение
water table,уровень (зеркало) грунтовых вод
water-table uprising,подтопление
watertight diaphragm,противофильтрационная завеса
water tapping,водозабор
withdrawal of water,водозабор
water intake structure,водозаборное сооружение
water use,водопользование
water user,водопользователь
water use,водопотребление
water use rate,норма водопотребления
waterways,водные пути
body wave,объемная волна
reflected wave,отраженная волна
surface wave,поверхностная волна
weakened rocks,ослабленные породы
weathering,выветривание
chemical,химическое
frost weathering,морозное
weathering crust,кора выветривания
wedging out,выклинивание
weir,водослив
well,"водопункт (колодец, скважина)"
"well column, borehole column",колонка скважины
wellpoint filter,иглофильтр
well screen,фильтр
wet density,объемная плотность
"whirlwind, tornado",смерч
width,ширина
wind,ветер; wind rose,роза ветров;
wind sediments,эоловые отложения
wind tide,нагон (воды) ветровой
winding,излучина (реки)
windward side,наветренная сторона
wood,лес
working design,рабочий проект
working documentation,рабочая документация
working hypothesis,рабочая гипотеза
worm,"шнек, червь"
X-ray,рентгеновские лучи
yield of boring,дебит скважины
yield of well,дебит скважины
Young`s modulus,модуль упругой деформации (модуль Юнга)
annual frost zone,зона сезонного промерзания
zone of freezing,зона сезонного промерзания
zone of subterranean backwater,зона подпора подземных вод
"zoning, terrain analysis",районирование
Cone Penetration Test,статическое зондирование
Design Basis Earthquake,проектное землетрясение
Global Positioning System,глобальная система позиционирования
International Atomic Energy Agency,Международное агентство по атомной энергии (МАГАТЭ)
Iceproof Stationary Platform,льдоустойчивая стационарная платформа
Lowest Astronomical Tide,наинизший уровень при отливе
Light Technical Equipment,легкий пробоотборник
Maximum Acceptable Concentration,предельно допустимая концентрация
Maximum Calculated Earthquake,максимальное расчетное землетрясение (МРЗ)
Mean Sea Level,средний уровень моря
Nuclear Power Plant,атомная электростанция (АЭС)
Piezocone Penetration Test,статическое зондирование пьезоконическим пенетрометром
Project Specific Design Codes,специальные технические условия (СТУ)
Rock Quality Designation,показатель качества (нарушенности) горной породы
Standard Penetration Test,динамическое зондирование
CPT,статическое зондирование
DBE,проектное землетрясение
GPS,глобальная система позиционирования
IAEA,Международное агентство по атомной энергии (МАГАТЭ)
ISP,льдоустойчивая стационарная платформа
LAT,наинизший уровень при отливе
LTE-sampling,легкий пробоотборник
LTE,легкий пробоотборник
MAC,предельно допустимая концентрация
MCE,максимальное расчетное землетрясение (МРЗ)
MSL,средний уровень моря
NPP,атомная электростанция (АЭС)
PCPT,статическое зондирование пьезоконическим пенетрометром
PSDC,специальные технические условия (СТУ)
RQD,показатель качества (нарушенности) горной породы
SPT,динамическое зондирование
X-ray,рентгеновские лучи
